Year,Railway Zones/Units/Board and Other Offices - Central,Railway Zones/Units/Board and Other Offices - Eastern,Railway Zones/Units/Board and Other Offices - East Central,Railway Zones/Units/Board and Other Offices - East Cost,Railway Zones/Units/Board and Other Offices - Metro Railway Kolkata,Railway Zones/Units/Board and Other Offices - Northern,Railway Zones/Units/Board and Other Offices - North Central,Railway Zones/Units/Board and Other Offices - North Eastern,Railway Zones/Units/Board and Other Offices - Northeast Frontier,Railway Zones/Units/Board and Other Offices - North Western,Railway Zones/Units/Board and Other Offices - Southern,Railway Zones/Units/Board and Other Offices - South Central,Railway Zones/Units/Board and Other Offices - South Eastern,Railway Zones/Units/Board and Other Offices - Southeast Central,Railway Zones/Units/Board and Other Offices - South Western,Railway Zones/Units/Board and Other Offices - Western,Railway Zones/Units/Board and Other Offices - West Central,Railway Zones/Units/Board and Other Offices - Production Units,Railway Zones/Units/Board and Other Offices - Railway Board & Metropolitan Transport Projects,Grand total
2000,213199,208237,NA,NA,NA,242747,NA,97570,79390,NA,133587,121820,197525,NA,NA,182916,NA,51241,21153,1549385
2001,208024,204376,NA,NA,NA,236973,NA,95233,76508,NA,130579,119410,195725,NA,NA,178210,NA,49885,19893,1514816
2002,204707,195932,NA,NA,NA,231923,NA,91957,75159,NA,126992,116627,194055,NA,NA,171971,NA,48074,18487,1475884
2003,126813,133613,92165,43985,NA,164304,72592,64158,74085,59690,106844,95919,98390,40336,33373,112842,61178,46521,18620,1445428
2004,124757,131513,84180,44450,NA,161906,79039,63769,72685,57669,106258,95009,95830,42722,33654,110447,60401,45596,14504,1424389
2005,122783,129900,8252,44920,NA,160332,79061,61539,73740,58482,104865,93968,92867,43245,34043,109338,58907,45079,15113,1412434
2006,121734,129102,83812,45510,NA,158378,72936,60919,71734,58034,105177,93606,91886,42735,34217,108389,58740,45754,14947,1397610
2007,119396,130322,83122,46115,NA,157021,72561,59823,69835,57891,104680,91509,90453,43655,34399,113636,58133,45624,16243,1394418
2008,119574,126747,81408,43430,NA,160215,72302,60229,69929,58844,102472,91316,88835,42829,34339,112840,57855,45844,17115,1323164
2009,115034,121477,77669,41294,NA,155527,69061,57099,66176,56644,99329,87786,85938,41454,33502,108233,57737,45671,17902,1335622
2010,113341,120421,74928,41526,3809,156320,68647,58038,68092,56064,95741,87275,84611,41643,33605,108292,57181,44779,17891,1332204
2011,110022,117711,72765,41219,4094,153523,67153,56416,66570,54723,94492,86325,83671,40617,33602,104480,56326,44442,18059,1306210
2012,111274,117362,77088,42893,3763,148016,67056,57334,67064,53062,93805,85146,82564,41121,37103,101955,57603,44572,17479,1307260
